ideology,political_affiliation,race_white,hispanic,gender,income,age,bio,count
liberal,am a weak Democrat,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",4
extremely liberal,am a strong Democrat,white,,female,poor,old,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am female. Financially, I am poor. In terms of my age, I am old. ",4
slightly liberal,am a strong Democrat,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",4
slightly liberal,am a strong Democrat,white,,female,middle-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am old. ",4
slightly liberal,am a weak Democrat,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",4
slightly conservative,am a weak Republican,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",4
liberal,lean towards Democrats,white,,female,middle-class,young,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am young. ",4
extremely liberal,am a strong Democrat,white,,male,middle-class,old,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. ",4
moderate,am a weak Democrat,white,,female,poor,young,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am young. ",4
moderate,am a weak Democrat,white,,female,middle-class,young,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am young. ",4
liberal,am a strong Democrat,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ",4
moderate,am a weak Republican,white,,female,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am old. ",4
slightly liberal,lean towards Democrats,white,,female,middle-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am old. ",4
conservative,am a strong Republican,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",4
conservative,am a strong Republican,white,,female,poor,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am poor. In terms of my age, I am old. ",4
moderate,am a weak Democrat,white,,male,poor,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am male. Financially, I am poor. In terms of my age, I am old. ",4
conservative,am a weak Republican,white,,male,middle-class,old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ",4
moderate,am an independent,white,,female,poor,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",4
moderate,am an independent,white,,male,poor,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",4
moderate,lean towards Democrats,white,,female,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am old. ",3
extremely liberal,am a strong Democrat,white,,male,poor,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",3
moderate,am an independent,white,,female,poor,young,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am young. ",3
conservative,am a weak Democrat,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",3
conservative,am a weak Republican,white,,female,upper-class,old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am upper-class. In terms of my age, I am old. ",3
slightly conservative,am a weak Republican,white,,female,poor,young,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am female. Financially, I am poor. In terms of my age, I am young. ",3
slightly liberal,am an independent,white,,female,middle-class,young,"Ideologically, I describe myself as slightly liberal. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am young. ",3
slightly conservative,am a weak Republican,white,,male,upper-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am upper-class. In terms of my age, I am old. ",3
slightly conservative,am a weak Republican,white,,female,middle-class,young,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am young. ",3
moderate,am a weak Republican,white,,male,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ",3
liberal,lean towards Democrats,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",3
liberal,lean towards Democrats,white,,female,middle-class,old,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am old. ",3
moderate,am a weak Republican,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",3
liberal,lean towards Democrats,white,,female,poor,old,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am poor. In terms of my age, I am old. ",3
moderate,am a weak Republican,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ",3
extremely liberal,am a strong Democrat,white,,male,poor,old,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am male. Financially, I am poor. In terms of my age, I am old. ",3
moderate,am a weak Democrat,white,,female,poor,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am old. ",3
conservative,am a strong Republican,white,,male,middle-class,very old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am very old. ",3
conservative,am a strong Republican,white,,female,upper-class,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am upper-class. In terms of my age, I am old. ",3
liberal,am a strong Democrat,white,,female,upper-class,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am upper-class. In terms of my age, I am old. ",3
liberal,am a strong Democrat,white,,female,upper-class,young,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am upper-class. In terms of my age, I am young. ",3
conservative,am a strong Republican,white,,female,,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. In terms of my age, I am old. ",3
slightly conservative,lean towards Rebublicans,white,,female,middle-class,very old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am very old. ",3
conservative,am a strong Republican,white,,female,poor,very old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am poor. In terms of my age, I am very old. ",3
liberal,am a strong Democrat,white,,male,middle-class,very old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am very old. ",3
liberal,am a strong Democrat,white,,male,middle-class,young,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am young. ",3
liberal,am a strong Democrat,white,,male,very poor,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am very poor. In terms of my age, I am old. ",3
conservative,am a weak Republican,white,,male,upper-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. Financially, I am upper-class. In terms of my age, I am middle-aged. ",3
slightly liberal,lean towards Democrats,white,,male,poor,young,"Ideologically, I describe myself as slightly liberal. Politically, I lean towards Democrats. I am male. Financially, I am poor. In terms of my age, I am young. ",3
slightly conservative,lean towards Rebublicans,white,,male,poor,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",3
slightly conservative,lean towards Rebublicans,white,,male,poor,old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am poor. In terms of my age, I am old. ",3
moderate,am an independent,white,,male,middle-class,very old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am very old. ",3
liberal,am a weak Democrat,white,,female,poor,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",3
liberal,am a weak Democrat,white,,female,poor,young,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am young. ",3
liberal,am a weak Democrat,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ",3
extremely liberal,am a strong Democrat,white,Hispanic,male,middle-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",3
slightly liberal,am a strong Democrat,white,,male,middle-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. ",3
moderate,lean towards Democrats,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",3
slightly liberal,am a weak Democrat,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",3
conservative,am an independent,white,,female,poor,old,"Ideologically, I describe myself as conservative. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am old. ",3
slightly liberal,am a weak Democrat,white,,male,poor,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",3
moderate,am a weak Democrat,white,,female,,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. In terms of my age, I am old. ",3
extremely conservative,am a strong Republican,white,,female,poor,young,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am female. Financially, I am poor. In terms of my age, I am young. ",3
conservative,lean towards Rebublicans,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",3
moderate,am a weak Democrat,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",3
moderate,lean towards Democrats,white,,male,middle-class,young,"Ideologically, I describe myself as moderate. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am young. ",3
liberal,lean towards Democrats,white,,male,poor,young,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. Financially, I am poor. In terms of my age, I am young. ",3
moderate,lean towards Democrats,white,,male,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am old. ",3
extremely conservative,am a strong Republican,white,,male,middle-class,very old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am very old. ",3
moderate,lean towards Rebublicans,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",3
slightly liberal,am a weak Democrat,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ",3
liberal,lean towards Democrats,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",3
slightly liberal,am a weak Democrat,white,,female,upper-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am old. ",3
slightly liberal,am an independent,white,,female,poor,young,"Ideologically, I describe myself as slightly liberal. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am young. ",3
liberal,lean towards Democrats,white,,male,,middle-aged,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. In terms of my age, I am middle-aged. ",3
moderate,am a weak Democrat,white,,female,middle-class,very old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am very old. ",3
liberal,lean towards Democrats,white,,male,middle-class,young,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am young. ",3
moderate,am an independent,white,,male,middle-class,young,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am young. ",2
moderate,lean towards Rebublicans,white,,female,upper-class,old,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am female. Financially, I am upper-class. In terms of my age, I am old. ",2
liberal,am a strong Democrat,white,,male,very poor,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am very poor. In terms of my age, I am middle-aged. ",2
liberal,am a weak Democrat,white,,female,,young,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am female. In terms of my age, I am young. ",2
moderate,am an independent,white,,male,very poor,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am very poor. In terms of my age, I am middle-aged. ",2
slightly conservative,am an independent,white,,male,middle-class,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am very old. ",2
moderate,lean towards Rebublicans,white,,female,poor,middle-aged,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",2
moderate,lean towards Rebublicans,white,,female,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am old. ",2
liberal,am a strong Democrat,white,Hispanic,male,middle-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",2
moderate,am an independent,white,Hispanic,female,upper-class,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. Racially, I am Hispanic. I am female. Financially, I am upper-class. In terms of my age, I am old. ",2
moderate,lean towards Rebublicans,white,,female,poor,old,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am female. Financially, I am poor. In terms of my age, I am old. ",2
moderate,am an independent,white,,male,upper-class,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am upper-class. In terms of my age, I am old. ",2
liberal,am a strong Democrat,white,,male,upper-class,very old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am upper-class. In terms of my age, I am very old. ",2
liberal,am a strong Democrat,white,,male,upper-class,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am upper-class. In terms of my age, I am old. ",2
moderate,am a weak Democrat,white,,female,upper-class,very old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am very old. ",2
moderate,am an independent,white,,male,poor,very old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am poor. In terms of my age, I am very old. ",2
moderate,am a weak Democrat,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",2
moderate,am a weak Democrat,white,,male,,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am male. In terms of my age, I am old. ",2
moderate,am a weak Democrat,white,,female,poor,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",2
moderate,am an independent,white,,male,poor,young,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am poor. In terms of my age, I am young. ",2
moderate,am a weak Democrat,white,,male,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. ",2
liberal,am a strong Democrat,white,,female,very poor,young,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am very poor. In terms of my age, I am young. ",2
liberal,am a strong Democrat,white,,female,very poor,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am very poor. In terms of my age, I am old. ",2
liberal,am a weak Democrat,white,,female,middle-class,very old,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am very old. ",2
liberal,am a weak Democrat,white,,male,middle-class,old,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. ",2
