id,ideology,political_affiliation,race_white,hispanic,gender,income,age,bio
R_6eNNi4bpXoilwy1,moderate,am a weak Democrat,white,,female,middle-class,young,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am young. "
R_9pG4IM28eFLqoDz,moderate,am an independent,white,,female,middle-class,young,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am young. "
R_2sPvTxpAqh4sytD,liberal,am a weak Democrat,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. "
R_1QQortSBPxQt23X,liberal,am a strong Democrat,white,,male,upper-class,very old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am upper-class. In terms of my age, I am very old. "
R_2fVwEhQhApmjeJL,liberal,am a strong Democrat,white,,male,upper-class,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am upper-class. In terms of my age, I am old. "
R_1WSOZX99izSN2AZ,slightly conservative,am a weak Republican,white,,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_bfoPPmyFnA0WtgN,liberal,am a strong Democrat,white,,female,upper-class,young,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am upper-class. In terms of my age, I am young. "
R_6hWJrdGMheoq1pP,slightly liberal,am a strong Democrat,white,,male,middle-class,very old,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_4I46G85lXoyKrNX,extremely conservative,am a strong Republican,white,,male,middle-class,young,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am young. "
R_cvVC4haZ471LqIJ,moderate,am an independent,white,,male,middle-class,very old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_6gR9bxR8sqrGpVz,moderate,am a weak Democrat,white,,male,poor,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am male. Financially, I am poor. In terms of my age, I am old. "
R_39OgukISIASk3tz,slightly conservative,am a weak Republican,white,,male,poor,young,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am poor. In terms of my age, I am young. "
R_8CjB1T2uSJYkRaR,conservative,am an independent,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_4YOncjsby6D7aQZ,slightly liberal,am a weak Democrat,white,,male,poor,young,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. Financially, I am poor. In terms of my age, I am young. "
R_9QqbikWcxIohAK9,slightly conservative,am a weak Republican,white,,male,middle-class,young,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am young. "
R_9Fw23igU92NqS5D,liberal,am a strong Democrat,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_0kAps59SlbdSY29,liberal,lean towards Democrats,white,,male,middle-class,very old,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_9o6mliXxMId9Z89,moderate,lean towards Democrats,white,,female,middle-class,very old,"Ideologically, I describe myself as moderate. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am very old. "
R_3r5XnIjyYck1aiV,extremely conservative,am a strong Republican,white,,male,middle-class,very old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_8kLw4Gk1Wgherqt,conservative,am a strong Republican,white,,female,poor,very old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am poor. In terms of my age, I am very old. "
R_39sslX1ghfrkZNP,slightly liberal,am a weak Democrat,white,Hispanic,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_cMAPTNH8tYDQoiF,slightly conservative,am a strong Democrat,white,Hispanic,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_4V04U1vYwVvoKb3,slightly liberal,am a weak Democrat,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. "
R_a3JT4v60JoY5GAZ,moderate,am a weak Democrat,white,,female,,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. In terms of my age, I am middle-aged. "
R_emwgwPDPXmjk4Xb,slightly liberal,am a strong Democrat,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_4Iol8RbhIgfxmMl,slightly conservative,lean towards Rebublicans,white,,male,middle-class,very old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_dmccxyYmEMRsLlP,slightly conservative,am a weak Republican,white,,female,poor,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am female. Financially, I am poor. In terms of my age, I am middle-aged. "
R_0wUqUWNuzVBNMGx,conservative,am a strong Republican,white,,male,middle-class,very old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_0AGUaDeYq033Hdb,conservative,lean towards Rebublicans,white,,male,middle-class,very old,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_4VgI5Gi3RpcEfcN,slightly conservative,lean towards Rebublicans,white,,male,upper-class,very old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am upper-class. In terms of my age, I am very old. "
R_5oIHOkiaZIB9mOV,slightly conservative,am a weak Democrat,white,Hispanic,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_cOYiHGWY1lFRarX,moderate,am a strong Republican,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a strong Republican. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_9FEJczqeFsqiwtv,moderate,am a weak Republican,white,,female,poor,young,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am poor. In terms of my age, I am young. "
R_6LLwiErY6ZEvCXH,extremely liberal,lean towards Democrats,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_8q6S9sWndGILB0p,extremely liberal,am a strong Democrat,white,Hispanic,female,middle-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_esoP0mEtfX09rPn,slightly conservative,lean towards Rebublicans,white,,male,upper-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am upper-class. In terms of my age, I am old. "
R_0DNYGfPKxeHFjhz,moderate,lean towards Democrats,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_7QFy65saYmHgdfL,slightly liberal,am a weak Democrat,white,,female,poor,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am middle-aged. "
R_bOaTkLf4QzRHPp3,moderate,am a weak Democrat,white,,male,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_0rJSoLHdW6C4uTH,moderate,am a weak Democrat,white,,female,upper-class,very old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am very old. "
R_6zEBEcSJ92QgmfX,extremely conservative,lean towards Rebublicans,white,,female,poor,old,"Ideologically, I describe myself as extremely conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am poor. In terms of my age, I am old. "
R_2cpNplqLIjfsgkJ,moderate,am a weak Republican,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_2txkOtfBvj49YYB,moderate,lean towards Rebublicans,white,,female,poor,old,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am female. Financially, I am poor. In terms of my age, I am old. "
R_892oYAaI3Okulq5,conservative,am a strong Republican,white,,female,middle-class,young,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am middle-class. In terms of my age, I am young. "
R_1FyhxkBVjrmIC8d,liberal,am an independent,white,,male,middle-class,old,"Ideologically, I describe myself as liberal. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_bvg9IJtrUnBoAvP,conservative,am a strong Republican,white,,female,poor,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am poor. In terms of my age, I am old. "
R_56jDRT2RxQbb737,moderate,am a weak Republican,white,,female,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_4ZbuqlJMF7c4VU1,slightly liberal,am a weak Democrat,white,,female,upper-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am old. "
R_brUAqKzCqugDEq1,moderate,am an independent,white,,male,upper-class,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am upper-class. In terms of my age, I am old. "
R_3l7P9o0Hl0JrRwF,slightly liberal,am a strong Democrat,white,,male,middle-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_8eqd7YYj4vH74u9,moderate,am a weak Republican,white,,male,middle-class,very old,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_bw1mkekf7Z7hBm5,slightly liberal,lean towards Democrats,white,,female,middle-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_2otsN6aIk3W9MYR,liberal,am a weak Democrat,white,,female,middle-class,old,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_bJwHGCyySGRMxN3,moderate,lean towards Rebublicans,white,,female,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_8qBFCuHhVamhJuB,moderate,lean towards Rebublicans,white,,male,,very old,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am male. In terms of my age, I am very old. "
R_8AhekjuarndCawd,slightly conservative,am a weak Republican,white,,male,poor,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am poor. In terms of my age, I am very old. "
R_6XwxnzBy7fsHfF3,conservative,lean towards Rebublicans,white,,male,middle-class,old,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_3dYiypxR575GEgl,moderate,am a weak Republican,white,,male,poor,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am male. Financially, I am poor. In terms of my age, I am old. "
R_6L3HkLTbTbcmu8t,slightly liberal,am a weak Democrat,white,,female,,young,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. In terms of my age, I am young. "
R_3O61gHxyoP0KggB,moderate,am an independent,white,,female,poor,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am middle-aged. "
R_dh5LGf7cmHwzjh3,moderate,am a weak Republican,white,,female,,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. In terms of my age, I am middle-aged. "
R_4YMJ3Y7QULq9JSR,moderate,lean towards Democrats,white,,male,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_cOVoUMXPV2uqGSF,moderate,am a weak Democrat,white,,female,poor,very old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am very old. "
R_50wYoNUwPqF26yx,moderate,am an independent,white,Hispanic,female,upper-class,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. Racially, I am Hispanic. I am female. Financially, I am upper-class. In terms of my age, I am old. "
R_8l8cjOQ6B5s2qrP,slightly liberal,am a weak Democrat,white,,male,middle-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_56Il1GsiYj3X3a5,slightly conservative,am a weak Republican,white,Hispanic,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_d0bymnwSwfB8QHb,slightly conservative,am a strong Democrat,white,,male,poor,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Democrat. I am male. Financially, I am poor. In terms of my age, I am very old. "
R_40en0LuyfshctcF,liberal,lean towards Democrats,white,,female,poor,old,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am poor. In terms of my age, I am old. "
R_73eEtQutyUHnZHv,slightly liberal,am a weak Democrat,white,,male,poor,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. Financially, I am poor. In terms of my age, I am middle-aged. "
R_5hDBX1s5eTdBz8N,conservative,am an independent,,Hispanic,female,poor,old,"Ideologically, I describe myself as conservative. Politically, I am an independent. Racially, I am Hispanic. I am female. Financially, I am poor. In terms of my age, I am old. "
R_09eH3SyDVE97WqF,moderate,am an independent,white,Hispanic,female,very poor,very old,"Ideologically, I describe myself as moderate. Politically, I am an independent. Racially, I am Hispanic. I am female. Financially, I am very poor. In terms of my age, I am very old. "
R_1RCI9BO4AeWTxIx,conservative,am a strong Republican,white,,male,,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. In terms of my age, I am old. "
R_832fxdV4QEySr6B,moderate,lean towards Rebublicans,white,,female,poor,middle-aged,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am female. Financially, I am poor. In terms of my age, I am middle-aged. "
R_5syufQIpdgSFRQN,conservative,am a weak Republican,white,,female,,old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. In terms of my age, I am old. "
R_dotAfue0bxBbMWh,moderate,am a weak Democrat,white,,female,poor,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am old. "
R_6XMcpbGtpzjWKJn,moderate,am a strong Democrat,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_djmFRcWL02htCa9,slightly conservative,am a weak Democrat,white,,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_eQ0Km1ClWIfLT6J,slightly liberal,am a weak Democrat,white,,female,middle-class,young,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am young. "
R_37tRKGkylVaY0rb,extremely liberal,am a strong Democrat,white,Hispanic,male,middle-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_0BqeQm9DcxPu2MJ,moderate,am an independent,white,,male,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_6WHnSykRHK4XLs9,extremely conservative,am a strong Republican,white,,male,upper-class,old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am upper-class. In terms of my age, I am old. "
R_e5vUlbX7spTeG5T,liberal,am a strong Democrat,white,,female,middle-class,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_3sIZHn5r5ilMlbD,conservative,am a weak Republican,white,,male,upper-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. Financially, I am upper-class. In terms of my age, I am middle-aged. "
R_4VkFHY3T5dhI2DH,slightly liberal,am an independent,white,,male,upper-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I am an independent. I am male. Financially, I am upper-class. In terms of my age, I am old. "
R_cOYpyA2IVOcm3ul,moderate,am a weak Democrat,white,,female,middle-class,very old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am very old. "
R_dcndSeV3DHvR5Ot,liberal,lean towards Democrats,white,,female,poor,middle-aged,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am poor. In terms of my age, I am middle-aged. "
R_5A0O8TYkf5VZXA9,moderate,am a weak Democrat,white,,male,middle-class,very old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_7agzvPtdI6mYWCp,slightly conservative,am a weak Republican,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. "
R_8wy5bM1KaPsyYzX,moderate,am a weak Republican,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_82g1L6iBvqWUPZ3,slightly liberal,am a weak Democrat,white,,male,middle-class,very old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_etavy2TpSsxuNtb,moderate,am an independent,white,,female,middle-class,very old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am very old. "
R_eOL65RMPL8i4zjf,slightly liberal,am a weak Republican,white,,female,poor,very old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Republican. I am female. Financially, I am poor. In terms of my age, I am very old. "
R_3xQiOuEXrsLrb1P,liberal,lean towards Democrats,white,,male,middle-class,old,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_50jSco1eAyTFYDH,liberal,lean towards Democrats,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_9Y7mVJe2JuzDefz,conservative,am a strong Republican,white,,female,upper-class,very old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am upper-class. In terms of my age, I am very old. "
R_8c3olfLVnDmOost,slightly conservative,am a strong Republican,white,,male,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_cAvvcEoAO1Ms0oB,slightly liberal,am an independent,white,,female,poor,young,"Ideologically, I describe myself as slightly liberal. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am young. "
R_3DBK8MjdVzrMbIh,moderate,am an independent,white,,female,,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. In terms of my age, I am old. "
R_8uXZ3fG6yEh7HqB,slightly liberal,am a weak Democrat,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_9z6wRoloq0u7Rit,liberal,am an independent,white,,female,middle-class,old,"Ideologically, I describe myself as liberal. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_8GLY3LDMo98fW2F,slightly conservative,lean towards Rebublicans,white,,male,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_ezDOd5PuKZnSkXX,slightly conservative,lean towards Rebublicans,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_bHkCksCJu2Mc44d,moderate,am an independent,white,,male,poor,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am poor. In terms of my age, I am old. "
R_7ZJHrJcoQar95SB,conservative,am a weak Republican,white,,male,middle-class,old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_e532cKhgbnYf7xP,conservative,am a strong Republican,white,,female,middle-class,very old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am middle-class. In terms of my age, I am very old. "
R_9tUkkdDnjeferoV,extremely liberal,am a strong Democrat,white,Hispanic,female,middle-class,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am young. "
R_a62f5O5omMqpFqJ,slightly conservative,am a weak Republican,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_3IsctPM0ebR4gst,slightly conservative,am an independent,white,,male,middle-class,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am very old. "
R_5sWYySIau9tJTfL,moderate,am a strong Republican,white,,male,poor,very old,"Ideologically, I describe myself as moderate. Politically, I am a strong Republican. I am male. Financially, I am poor. In terms of my age, I am very old. "
